Config,Clusters,Iterations,Inertia
modified,2,13,2.79e+11
modified,3,28,2.33e+11
modified,4,22,2.07e+11
modified,5,29,1.91e+11
modified,6,39,1.64e+11
modified,7,51,1.46e+11
modified,8,66,1.33e+11
modified,9,70,1.26e+11
modified,10,65,1.17e+11
modified,11,24,1.12e+11
modified,12,51,1.06e+11
modified,13,40,1.02e+11
modified,14,30,1.00e+11
modified,15,76,9.16e+10
modified,16,33,8.95e+10
modified,17,47,8.58e+10
modified,18,81,8.38e+10
modified,19,38,8.20e+10
modified,20,56,7.87e+10
modified,21,47,7.83e+10
modified,22,71,7.50e+10
modified,23,32,7.59e+10
modified,24,58,7.40e+10
modified,25,54,6.87e+10
modified,26,62,6.79e+10
modified,27,39,6.94e+10
modified,28,48,6.82e+10
modified,29,61,6.57e+10
modified,30,33,6.34e+10
modified,31,67,6.15e+10
modified,32,63,6.17e+10
modified,33,30,6.23e+10
modified,34,148,5.88e+10
modified,35,39,5.93e+10
modified,36,61,5.98e+10
modified,37,48,5.82e+10
modified,38,43,5.89e+10
modified,39,38,5.61e+10
modified,40,47,5.64e+10
modified,41,52,5.59e+10
modified,42,69,5.47e+10
modified,43,40,5.43e+10
modified,44,30,5.30e+10
modified,45,46,5.26e+10
modified,46,35,5.16e+10
modified,47,46,5.23e+10
modified,48,44,4.98e+10
modified,49,23,5.09e+10
