Config,Clusters,Iterations,Inertia
modified,2,13,2.79e+11
modified,3,20,2.33e+11
modified,4,40,2.16e+11
modified,5,20,1.94e+11
modified,6,82,1.70e+11
modified,7,23,1.57e+11
modified,8,29,1.33e+11
modified,9,36,1.24e+11
modified,10,42,1.19e+11
modified,11,58,1.10e+11
modified,12,53,1.08e+11
modified,13,34,1.03e+11
modified,14,35,9.48e+10
modified,15,50,9.20e+10
modified,16,40,8.86e+10
modified,17,29,8.60e+10
modified,18,32,8.53e+10
modified,19,35,8.25e+10
modified,20,45,8.17e+10
modified,21,47,7.68e+10
modified,22,44,7.45e+10
modified,23,102,7.41e+10
modified,24,50,7.20e+10
modified,25,49,7.00e+10
modified,26,106,6.98e+10
modified,27,91,6.83e+10
modified,28,60,6.66e+10
modified,29,72,6.66e+10
modified,30,148,6.38e+10
modified,31,41,6.28e+10
modified,32,51,6.15e+10
modified,33,74,6.23e+10
modified,34,49,6.05e+10
modified,35,46,5.92e+10
modified,36,76,5.91e+10
modified,37,65,5.72e+10
modified,38,52,5.74e+10
modified,39,48,5.48e+10
modified,40,48,5.59e+10
modified,41,37,5.52e+10
modified,42,41,5.40e+10
modified,43,56,5.47e+10
modified,44,63,5.25e+10
modified,45,63,5.31e+10
modified,46,71,5.13e+10
modified,47,52,5.11e+10
modified,48,54,5.11e+10
modified,49,49,4.99e+10
